fullname,language,selectedfiles,numauthors,developers,percentage,size
SFTtech/openage,C-Cpp,280,12,29,0.41,Medium
Shopify/active_merchant,Ruby,510,101,347,0.29,Medium
silexphp/Silex,PHP,104,12,73,0.16,Small
sparklemotion/nokogiri,Java,320,23,104,0.22,Medium
spotify/luigi,Python,140,34,113,0.3,Small
spring-projects/spring-framework,Java,5849,41,107,0.38,Large
sstephenson/sprockets,Ruby,105,2,61,0.03,Small
strongloop/express,JavaScript,100,11,97,0.11,Small
substack/node-browserify,JavaScript,288,25,82,0.3,Medium
thinkaurelius/titan,Java,1361,7,27,0.26,Large
ThinkUpLLC/ThinkUp,PHP,860,29,84,0.35,Medium
thoughtbot/factory_girl,Ruby,134,12,74,0.16,Small
thoughtbot/paperclip,Ruby,150,18,246,0.07,Small
thumbor/thumbor,Python,182,16,44,0.36,Medium
torvalds/linux,C-Cpp,40171,3035,11319,0.27,Large
TryGhost/Ghost,JavaScript,575,42,169,0.25,Medium
v8/v8,C-Cpp,3746,85,113,0.75,Large
webscalesql/webscalesql-5.6,C-Cpp,4180,233,894,0.26,Large
WordPress/WordPress,PHP,695,34,51,0.67,Medium
wp-cli/wp-cli,PHP,178,24,120,0.2,Small
xetorthio/jedis,Java,134,19,90,0.21,Small
yiisoft/yii2,PHP,1195,80,311,0.26,Large
